x,y,z
522338,8418153,381.117
522348,8418153,380.723
522358,8418153,379.916
522368,8418153,378.914
522378,8418153,377.636
522388,8418153,375.859
522398,8418153,373.915
522408,8418153,371.968
522418,8418153,370.031
522428,8418153,368.21
522438,8418153,366.609
522448,8418153,365.181
522018,8418143,304.578
522028,8418143,306.523
522038,8418143,309.008
522048,8418143,312.164
522058,8418143,315.945
522068,8418143,320.164
522078,8418143,324.43
522088,8418143,328.367
522098,8418143,332.164
522108,8418143,336.133
522118,8418143,340.508
522128,8418143,345.094
522138,8418143,349.641
522148,8418143,354.063
522158,8418143,358.188
522168,8418143,361.836
522178,8418143,364.961
522188,8418143,367.57
522198,8418143,369.852
522208,8418143,371.867
522218,8418143,373.672
522228,8418143,375.25
522238,8418143,376.609
522248,8418143,377.773
522258,8418143,378.789
522268,8418143,379.586
522278,8418143,380.195
522288,8418143,380.672
522298,8418143,381.047
522308,8418143,381.297
522318,8418143,381.422
522328,8418143,381.453
522338,8418143,381.375
522348,8418143,381.055
522358,8418143,380.438
522368,8418143,379.625
522378,8418143,378.516
522388,8418143,377.055
522398,8418143,375.422
522408,8418143,373.805
522418,8418143,372.25
522428,8418143,370.844
522438,8418143,369.672
522448,8418143,368.773
522018,8418133,305.719
522028,8418133,308.552
522038,8418133,311.509
522048,8418133,314.859
522058,8418133,318.697
522068,8418133,322.734
522078,8418133,326.834
522088,8418133,330.495
522098,8418133,334
522108,8418133,337.824
522118,8418133,342.242
522128,8418133,346.96
522138,8418133,351.467
522148,8418133,355.656
522158,8418133,359.529
522168,8418133,362.914
522178,8418133,365.802
522188,8418133,368.156
522198,8418133,370.266
522208,8418133,372.163
522218,8418133,373.883
522228,8418133,375.399
522238,8418133,376.695
522248,8418133,377.807
522258,8418132,378.818
522268,8418132,379.602
522278,8418132,380.201
522288,8418132,380.703
522298,8418132,381.086
522308,8418132,381.354
522318,8418132,381.5
522328,8418132,381.55
522338,8418132,381.516
522348,8418132,381.258
522358,8418132,380.719
522368,8418132,380.078
522378,8418132,379.149
522388,8418132,377.906
522398,8418132,376.527
522408,8418132,375.226
522418,8418132,374.047
522428,8418132,373.081
522438,8418132,372.32
522448,8418132,371.907
522018,8418122,307.234
522028,8418122,310.555
522038,8418122,313.837
522048,8418122,317.406
522058,8418122,321.083
522068,8418122,324.984
522078,8418122,328.748
522088,8418122,332.213
522098,8418122,335.578
522108,8418122,339.248
522118,8418122,343.742
522128,8418122,348.479
522138,8418122,352.993
522148,8418122,357.102
522158,8418122,360.739
522168,8418122,363.945
522178,8418122,366.63
522188,8418122,368.794
522198,8418122,370.75
522208,8418122,372.534
522218,8418122,374.164
522228,8418122,375.612
522238,8418122,376.836
522248,8418122,377.906
522258,8418122,378.876
522268,8418122,379.641
522278,8418122,380.251
522288,8418122,380.766
522298,8418122,381.151
522308,8418122,381.432
522318,8418122,381.586
522328,8418122,381.663
522338,8418122,381.633
522348,8418122,381.43
522358,8418122,380.973
522368,8418122,380.406
522378,8418122,379.629
522388,8418122,378.531
522398,8418122,377.37
522408,8418122,376.303
522418,8418122,375.453
522428,8418122,374.844
522438,8418122,374.477
522448,8418122,374.344
522458,8418276,319.77
522468,8418276,318.313
522478,8418276,316.932
522488,8418276,315.602
522498,8418276,314.61
522508,8418276,314.258
